,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
88,Sherwood Montessori,04614240121475,060837012750,39.727452,-121.81579,63524,40897,10329.0,6.150062929615645,3.9594346016071253
89,Wildflower Open Classroom,04614240123810,060837012755,39.758527,-121.84361,67802,44462,11042.0,6.140373120811447,4.0266256113023005
90,Pivot Charter School North Valley II,04614240137828,060837014363,39.734808,-121.82143,63524,40897,10329.0,6.150062929615645,3.9594346016071253
91,Chico Country Day,04614246113773,060837005708,39.724000,-121.83277,63524,40897,10329.0,6.150062929615645,3.9594346016071253
92,Blue Oak Charter,04614246119523,060837008682,39.753393,-121.86867,52720,36452,8877.0,5.938943336712853,4.106342232736285
93,Pivot Charter School North Valley,04614570125252,061548013032,39.747411,-121.79228,56872,33929,8809.0,6.45612441820865,3.8516290157793165
94,STREAM Charter,04615070129577,062910013790,39.497602,-121.57074,19957,18228,5265.0,3.7905033238366572,3.462108262108262
95,Achieve Charter School of Paradise Inc.,04615310110338,062982011571,39.761657,-121.81632,57504,34877,9125.0,6.301808219178082,3.82213698630137
96,HomeTech Charter,04615316112585,062982004345,39.756541,-121.62634,13722,11567,2621.0,5.235406333460511,4.413201068294544
97,Paradise Charter Middle,04615316112999,062982004403,39.772356,-121.59585,15099,12944,3080.0,4.902272727272727,4.202597402597402
98,Children's Community Charter,04615316113765,062982005717,39.758885,-121.82802,63524,40897,10329.0,6.150062929615645,3.9594346016071253
99,Mountain Oaks,05100580530154,069100308686,38.188474,-120.69093,4735,3788,947.0,5.0,4.0
100,Making Waves Academy,07100740114470,069100512043,37.988463,-122.33185,38932,43016,13781.0,2.8250489804803713,3.1213990276467602
101,Caliber: Beta Academy,07100740129528,069100513746,37.922804,-122.32901,70878,67643,18661.0,3.798188735866245,3.624832538449172
102,Summit Public School K2,07100740129684,069100513776,37.925768,-122.31341,73373,64237,16886.0,4.345197204785029,3.804157290062774
103,Contra Costa School of Performing Arts,07100740134114,069100514059,37.930236,-122.02474,90261,55400,14399.0,6.268560316688659,3.847489408986735
104,Invictus Academy of Richmond,07100740137026,069100514304,37.985734,-122.30765,38909,38205,11885.0,3.2737904922170804,3.2145561632309634
105,Golden Gate Community,07100740730614,069100510472,38.003885,-121.87747,37542,37098,11403.0,3.2922915022362536,3.2533543804262037
106,Clayton Valley Charter High,07100740731380,069100503940,37.950133,-121.96702,46637,33185,8379.0,5.56593865616422,3.9604964792934716
107,Antioch Charter Academy II,07616480115063,060285011984,38.011182,-121.82097,22301,34665,9999.0,2.23032303230323,3.4668466846684667
