,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
1152,Keiller Leadership Academy,37683386039812,063432005492,32.712076,-117.04241,0,0,0.0,NA,NA
1153,Harriet Tubman Village Charter,37683386040018,063432003943,32.769775,-117.04975,0,0,0.0,NA,NA
1154,King-Chavez Primary Academy,37683386040190,063432005556,32.709848,-117.12742,0,0,0.0,NA,NA
1155,The O'Farrell Charter,37683386061964,063432010056,32.701375,-117.06485,0,0,0.0,NA,NA
1156,McGill School of Success,37683386113211,063432005339,32.725479,-117.12970,0,0,0.0,NA,NA
1157,Nubia Leadership Academy,37683386114961,063432007347,32.705219,-117.06606,0,0,0.0,NA,NA
1158,Museum,37683386115570,063432007689,32.732423,-117.16514,0,0,0.0,NA,NA
1159,Holly Drive Leadership Academy,37683386117279,063432008306,32.724151,-117.09257,0,0,0.0,NA,NA
1160,High Tech Elementary Explorer,37683386117683,063432008602,32.734604,-117.21975,0,0,0.0,NA,NA
1161,San Diego Cooperative Charter,37683386119168,063432010636,32.791139,-117.16638,0,0,0.0,NA,NA
1162,King-Chavez Academy of Excellence,37683386119598,063432010381,32.697962,-117.13580,0,0,0.0,NA,NA
1163,Albert Einstein Academy Charter Elementary,37683386120935,063432010637,32.720187,-117.12946,0,0,0.0,NA,NA
1164,Promise Charter,37683386120943,063432010638,32.713027,-117.09784,0,0,0.0,NA,NA
1165,Imperial Beach Charter,37683956040505,063738006320,32.576599,-117.11967,0,0,0.0,NA,NA
1166,Nestor Language Academy Charter,37683956040513,063738006321,32.570376,-117.08410,0,0,0.0,NA,NA
1167,Insight @ San Diego,37684030125401,063768013030,34.275868,-118.79798,46756,30169,7458.0,6.269241083400376,4.045186377044784
1168,California Virtual Academy @ San Diego,37684036120893,063768010641,34.275868,-118.79798,46756,30169,7458.0,6.269241083400376,4.045186377044784
1169,Hawking S.T.E.A.M. Charter,37684110126086,063864013113,32.642213,-117.08922,0,0,0.0,NA,NA
1170,Hawking S.T.E.A.M. Charter School 2,37684110128082,063864013457,32.571349,-117.07544,0,0,0.0,NA,NA
1171,MAAC Community Charter,37684113731304,063864010384,32.604299,-117.06543,0,0,0.0,NA,NA
1172,RAI Online Charter,37684370101220,064071011398,33.413867,-117.14865,0,0,0.0,NA,NA
1173,Taylion San Diego Academy,37684370128470,064071013696,33.151721,-117.19884,74265,41821,10375.0,7.158072289156626,4.030939759036144
1174,SIATech,37684520106120,064119011401,33.216092,-117.26989,102428,72130,17919.0,5.71616719683018,4.025336235280987
1175,North County Trade Tech High,37684520114264,064119011970,33.212842,-117.25511,89919,71538,17609.0,5.106422851950707,4.062581634391504
1176,Guajome Learning Center,37684520124917,064119012930,33.230575,-117.25014,73405,55742,13598.0,5.398220326518605,4.099279305780262
1177,Bella Mente Montessori Academy,37684520128223,064119013667,33.189574,-117.27872,101437,66033,16490.0,6.1514251061249245,4.004426925409339
1178,Guajome Park Academy Charter,37684523730942,064119003964,33.230120,-117.24877,73405,55742,13598.0,5.398220326518605,4.099279305780262
1179,Coastal Academy,37735690101071,062825011265,33.207747,-117.29192,71264,51145,12768.0,5.5814536340852134,4.005717418546366
1180,Coastal Academy Charter,37735690136267,062825014145,33.206522,-117.29292,71264,51145,12768.0,5.5814536340852134,4.005717418546366
1181,Pacific View Charter,37735693731221,062825008313,33.210649,-117.31151,53615,34632,8841.0,6.064359235380613,3.9172039362063114
1182,Bayshore Preparatory Charter,37737910109785,063488011405,33.137768,-117.19177,49601,26726,6763.0,7.334171225787372,3.951796539997043
1183,Pivot Charter School - San Diego II,37737910138222,063488014347,33.124043,-117.20913,71611,34694,9069.0,7.896239938251186,3.825559598632705
1184,All Tribes Elementary Charter,37754160122796,060004212735,33.277583,-116.95371,0,0,0.0,NA,NA
1185,California Pacific Charter - San Diego,37754160132472,060004213918,33.274227,-116.64411,0,0,0.0,NA,NA
1186,All Tribes Charter,37754166119275,060004210387,33.277583,-116.95371,0,0,0.0,NA,NA
1187,High Tech High Chula Vista,37764710114678,060132212083,32.622230,-116.95962,0,0,0.0,NA,NA
1188,High Tech High North County,37764710114694,060132212064,33.131486,-117.20153,71611,34694,9069.0,7.896239938251186,3.825559598632705
1189,High Tech Middle North County,37764710119271,060132212388,33.131433,-117.20232,71611,34694,9069.0,7.896239938251186,3.825559598632705
1190,High Tech Middle Chula Vista,37764710123042,060132212642,32.619241,-116.95858,0,0,0.0,NA,NA
1191,High Tech Elementary Chula Vista,37764710123059,060132212726,32.619241,-116.95858,0,0,0.0,NA,NA
1192,High Tech Elementary North County,37764710127605,060132213517,33.131439,-117.20377,71611,34694,9069.0,7.896239938251186,3.825559598632705
1193,High Tech High Mesa,37764710137067,060132214220,32.815661,-117.18079,0,0,0.0,NA,NA
1194,Pathways Academy Charter,37768510132886,060142613961,33.287099,-117.21892,0,0,0.0,NA,NA
1195,Vivian Banks Charter,37768516113468,060142606481,33.365115,-117.07171,0,0,0.0,NA,NA
1196,Thrive Public,37769010131193,No DataNo Data,32.754058,-117.07999,0,0,0.0,NA,NA
1197,Thrive Public,37769010134429,No Data14021,32.754058,-117.07999,0,0,0.0,NA,NA
1198,Audeo Charter II,37770320134577,No Data14028,33.180779,-117.29137,89879,54941,13717.0,6.5523802580739225,4.005321863381206
1199,Grossmont Secondary,37770990136077,No Data14169,32.806734,-116.96305,0,0,0.0,NA,NA
1200,Sweetwater Secondary,37771070136473,No Data14089,32.648779,-117.05338,0,0,0.0,NA,NA
1201,Vista Springs Charter,37771560137323,No Data14373,33.220678,-117.23443,74595,58319,14451.0,5.161926510276105,4.035637672133416
1202,College Preparatory Middle,37771640137356,No Data14334,32.745829,-116.97130,0,0,0.0,NA,NA
1203,Baypoint Preparatory Academy - San Diego,37771720138099,No Data14247,33.137364,-117.19122,49601,26726,6763.0,7.334171225787372,3.951796539997043
1204,KIPP Bayview Academy,38684780101337,063441011256,37.719029,-122.39611,58892,66065,16548.0,3.558859076625574,3.9923253565385544
1205,KIPP San Francisco Bay Academy,38684780101352,063441011255,37.783129,-122.43773,163412,114196,26330.0,6.20630459551842,4.3371059627800985
1206,Five Keys Charter (SF Sheriff's),38684780101774,063441011407,37.627724,-122.45574,0,0,0.0,NA,NA
1207,City Arts and Tech High,38684780107300,063441011408,37.719590,-122.42560,107425,102204,24760.0,4.338651050080776,4.127786752827141
1208,Metropolitan Arts & Technology High,38684780109769,063441011409,37.732309,-122.38217,40416,50043,12665.0,3.1911567311488356,3.951283063560995
1209,Five Keys Adult School (SF Sheriff's),38684780118133,063441012373,37.777160,-122.40215,101715,86141,20149.0,5.04814134696511,4.275199761774778
1210,Five Keys Independence HS (SF Sheriff's),38684780118141,063441012256,37.777170,-122.40214,101715,86141,20149.0,5.04814134696511,4.275199761774778
1211,Gateway Middle,38684780123265,063441012800,37.779439,-122.43600,156206,110366,25640.0,6.092277691107644,4.3044461778471135
1212,Mission Preparatory,38684780123505,063441012768,37.755441,-122.40857,114056,107031,25854.0,4.411541734354452,4.139823624970991
1213,KIPP San Francisco College Preparatory,38684780127530,063441013410,37.732378,-122.38235,40416,50043,12665.0,3.1911567311488356,3.951283063560995
1214,Leadership High,38684783830411,063441007354,37.721527,-122.44557,167538,130752,31157.0,5.377218602561222,4.1965529415540646
1215,Life Learning Academy Charter,38684783830429,063441007721,37.770910,-122.40479,103748,90965,21626.0,4.797373531859798,4.206279478405623
1216,Gateway High,38684783830437,063441007725,37.783129,-122.43773,163412,114196,26330.0,6.20630459551842,4.3371059627800985
1217,Thomas Edison Charter Academy,38684786040935,063441010388,37.754937,-122.42620,153030,126339,30555.0,5.008345606283751,4.134806087383407
1218,Creative Arts Charter,38684786112601,063441003982,37.780030,-122.43543,156206,110366,25640.0,6.092277691107644,4.3044461778471135
1219,San Francisco Flex Academy,38767030121814,060141112672,37.763243,-122.46382,233019,140803,32971.0,7.067392557095629,4.2705104485760215
1220,OnePurpose,38769190132159,No Data13938,37.718332,-122.38988,50278,55396,13977.0,3.597195392430421,3.963368390927953
1221,The New School of San Francisco,38769270132183,No Data13939,37.761705,-122.40064,95720,88975,21441.0,4.464344013805326,4.1497598059791985
1222,KIPP Bayview Elementary,38771310137307,No Data14322,37.734437,-122.38079,39040,48323,12321.0,3.16857397938479,3.9220030841652465
1223,Excel Academy: Collegiate Sports Health Science Preparatory High,39103970114447,069103111968,37.907744,-121.23201,0,0,0.0,NA,NA
1224,one.Charter,39103970120717,069103112462,37.908382,-121.23260,0,0,0.0,NA,NA
1225,San Joaquin Building Futures Academy,39103970121723,069103112662,37.954750,-121.34330,0,0,0.0,NA,NA
1226,River Islands Technology Academy II,39103970127134,069103113146,34.096982,-118.16947,169619,101937,25956.0,6.534866697488057,3.927300046232085
1227,Venture Academy,39103973930476,069103110651,37.907677,-121.23095,0,0,0.0,NA,NA
1228,NextGeneration STEAM Academy,39684860131789,060387013850,37.767313,-121.42908,49024,40654,11414.0,4.295076222183284,3.5617662519712634
1229,Escalon Charter Academy,39685020126011,061284013059,37.796836,-120.99558,0,0,0.0,NA,NA
1230,John McCandless Charter,39685690132415,062169013919,38.002685,-121.33125,0,0,0.0,NA,NA
1231,Aspire Benjamin Holt College Preparatory Academy,39685850101956,062223011341,38.037047,-121.27444,0,0,0.0,NA,NA
1232,Rio Valley Charter,39685850122580,062223012723,38.114210,-121.28687,59543,52458,12264.0,4.855104370515329,4.277397260273973
1233,Aspire Benjamin Holt Middle,39685850133678,062223013963,38.038336,-121.27086,0,0,0.0,NA,NA
1234,Aspire Vincent Shalvey Academy,39685856116594,062223008323,38.039218,-121.25915,0,0,0.0,NA,NA
1235,Joe Serna Jr. Charter,39685856117675,062223008617,38.173956,-121.25655,6190,7229,1757.0,3.523050654524758,4.114399544678429
1236,Aspire River Oaks Charter,39685856118921,062223010389,38.026921,-121.29199,0,0,0.0,NA,NA
1237,be.tech,39685930126094,062361013153,37.812017,-121.19524,0,0,0.0,NA,NA
1238,New Jerusalem,39686270117796,062703012204,37.668540,-121.32444,0,0,0.0,NA,NA
1239,"Humphreys College Academy of Business, Law and Education",39686270126755,062703013064,38.010512,-121.31675,0,0,0.0,NA,NA
1240,California Virtual Academy @ San Joaquin,39686270127191,062703013191,34.275868,-118.79798,46756,30169,7458.0,6.269241083400376,4.045186377044784
1241,Acacia Middle Charter,39686270128546,062703013727,37.995965,-121.29170,0,0,0.0,NA,NA
1242,Acacia Elementary Charter,39686270128553,062703013713,37.995965,-121.29170,0,0,0.0,NA,NA
1243,Renew Virtual Academy K12 #1,39686270129361,062703013784,37.953471,-121.28607,0,0,0.0,NA,NA
1244,Delta Home Charter,39686270129890,062703013736,37.668039,-121.32218,0,0,0.0,NA,NA
1245,Delta Keys Charter,39686270129908,062703013798,37.668039,-121.32412,0,0,0.0,NA,NA
1246,Valley View Charter Prep,39686270129916,062703013797,37.984225,-121.33761,0,0,0.0,NA,NA
1247,New Jerusalem Online,39686270130864,062703013839,37.668039,-121.32412,0,0,0.0,NA,NA
1248,Delta Bridges Charter,39686270132050,062703013884,38.009697,-121.30167,0,0,0.0,NA,NA
1249,Delta Launch Charter,39686270132365,062703013920,37.668039,-121.32412,0,0,0.0,NA,NA
1250,Insight @ San Joaquin,39686270133116,062703013952,34.275868,-118.79798,46756,30169,7458.0,6.269241083400376,4.045186377044784
1251,Delta Keys Charter,39686270136028,062703014175,37.808382,-121.29499,0,0,0.0,NA,NA
1252,Delta Charter Online,39686270136135,062703014183,37.808382,-121.29499,0,0,0.0,NA,NA
1253,Delta Charter,39686276119309,062703010391,37.668540,-121.32444,0,0,0.0,NA,NA
1254,California Connections Academy @ Ripon,39686500125849,063288013152,37.745513,-121.13475,0,0,0.0,NA,NA
1255,"Institute of Business, Management, and Law Charter",39686760101758,063801011301,38.010582,-121.31687,0,0,0.0,NA,NA
1256,Aspire Rosa Parks Academy,39686760108647,063801011423,37.939626,-121.25344,0,0,0.0,NA,NA
1257,Pittman Charter,39686760111336,063801011780,37.961053,-121.28382,0,0,0.0,NA,NA
1258,Aspire Port City Academy,39686760114876,063801012106,37.975734,-121.28030,0,0,0.0,NA,NA
1259,California Virtual Academy @ San Joaquin,39686760114926,063801011966,34.276457,-118.78862,49741,33480,8197.0,6.068195681346834,4.084421129681591
1260,Dr. Lewis Dolphin Stallworth Sr. Charter,39686760117853,063801012374,37.955715,-121.26982,0,0,0.0,NA,NA
1261,Aspire Langston Hughes Academy,39686760118497,063801012244,37.975822,-121.28033,0,0,0.0,NA,NA
1262,Stockton Early College Academy,39686760119743,063801012446,37.967174,-121.28962,0,0,0.0,NA,NA
1263,Stockton Collegiate International Elementary,39686760120725,063801012451,37.954369,-121.28680,0,0,0.0,NA,NA
1264,Stockton Collegiate International Secondary,39686760120733,063801012547,37.954550,-121.28690,0,0,0.0,NA,NA
1265,Aspire APEX Academy,39686760121541,063801012659,37.958304,-121.28440,0,0,0.0,NA,NA
1266,Health Careers Academy,39686760123802,063801012644,37.965270,-121.28436,0,0,0.0,NA,NA
1267,Pacific Law Academy,39686760124248,063801012846,37.984705,-121.32296,0,0,0.0,NA,NA
1268,TEAM Charter,39686760124958,063801012900,37.953474,-121.28245,0,0,0.0,NA,NA
1269,Team Charter Academy,39686760136283,063801014076,37.953265,-121.28345,0,0,0.0,NA,NA
1270,Nightingale Charter,39686766042725,063801006427,37.918667,-121.25484,0,0,0.0,NA,NA
1271,Primary Charter,39754990102384,060004711425,37.745254,-121.42456,84089,60992,16904.0,4.974503076194983,3.608140085186938
1272,Millennium Charter,39754990102392,060004711426,37.745254,-121.42456,84089,60992,16904.0,4.974503076194983,3.608140085186938
1273,California Pacific Charter School North Central California,39754990120519,060004712453,33.659935,-117.86697,79621,39924,11068.0,7.1938019515721,3.6071557643657393
1274,Discovery Charter,39754996118665,060004710393,37.745254,-121.42456,84089,60992,16904.0,4.974503076194983,3.608140085186938
1275,Grizzly ChalleNGe Charter,40104050101725,069103211281,35.323925,-120.73044,0,0,0.0,NA,NA
1276,Bellevue-Santa Fe Charter,40688096043194,063480005868,35.195152,-120.70891,0,0,0.0,NA,NA
1277,Almond Acres Charter Academy,40688250125807,063501013176,35.755645,-120.69685,0,0,0.0,NA,NA
1278,Oxford Day Academy,41104130135269,069103314082,37.465858,-122.13272,0,0,0.0,NA,NA
1279,California Pacific Charter School of San Francisco Bay,41688580120162,060420012480,33.903324,-118.38646,258851,157896,38237.0,6.769647200355676,4.129403457384209
1280,California Virtual Academy San Mateo,41689160112284,061887011787,34.275868,-118.79798,46756,30169,7458.0,6.269241083400376,4.045186377044784
1281,Summit Public School: Shasta,41689240127548,061893013354,37.666491,-122.47673,10381,11085,2373.0,4.374631268436578,4.671302149178255
1282,Stanford New,41689990109561,063186011431,37.460470,-122.15637,0,0,0.0,NA,NA
1283,Aspire East Palo Alto Charter,41689990134197,063186014051,37.468274,-122.12775,0,0,0.0,NA,NA
1284,KIPP Valiant Community Prep,41689990135608,063186014087,34.935346,-119.61483,0,0,0.0,NA,NA
1285,Aspire East Palo Alto Charter,41689996114953,063186007420,37.468675,-122.12717,0,0,0.0,NA,NA
1286,Connect Community Charter,41690050127282,063213013060,37.478751,-122.20522,0,0,0.0,NA,NA
1287,KIPP Excelencia Community Preparatory,41690050132068,063213013874,37.478913,-122.20606,0,0,0.0,NA,NA
1288,Rocketship Redwood City,41690050132076,063213013923,37.459974,-122.23765,0,0,0.0,NA,NA
1289,Arundel Elementary,41690216044721,063429005400,37.503514,-122.27516,0,0,0.0,NA,NA
1290,Brittan Acres Elementary,41690216044739,063429005401,37.495324,-122.26505,0,0,0.0,NA,NA
1291,Tierra Linda Middle,41690216044770,063429008627,37.507841,-122.28508,0,0,0.0,NA,NA
1292,White Oaks Elementary,41690216044788,063429005405,37.491609,-122.25398,0,0,0.0,NA,NA
1293,San Carlos Charter Learning Center,41690216112213,063429004029,37.507841,-122.28508,0,0,0.0,NA,NA
1294,Design Tech High,41690470129759,063498013774,37.532915,-122.26444,0,0,0.0,NA,NA
1295,Summit Preparatory Charter High,41690620112722,063639011981,37.486454,-122.21044,0,0,0.0,NA,NA
1296,Aspire East Palo Alto Phoenix Academy,41690620118232,063639012231,37.467418,-122.13211,0,0,0.0,NA,NA
1297,Everest Public High,41690620119503,063639012395,37.473774,-122.20386,0,0,0.0,NA,NA
1298,East Palo Alto Academy,41690620126722,063639011431,37.463305,-122.13124,0,0,0.0,NA,NA
1299,Family Partnership Charter,42691120111773,060528011789,34.865927,-120.41702,0,0,0.0,NA,NA
1300,Trivium Charter,42691120124255,060528012941,34.932951,-120.42324,0,0,0.0,NA,NA
1301,Visions Academy Charter,42691120127704,060528013441,34.440705,-119.73714,0,0,0.0,NA,NA
1302,Trivium Charter School Adventure,42691120137877,060528014339,34.637928,-120.43855,0,0,0.0,NA,NA
1303,Trivium Charter School Voyage,42691120137885,060528014237,34.437201,-119.78106,0,0,0.0,NA,NA
1304,Santa Ynez Valley Charter,42691796118434,060933010398,34.615776,-120.08270,0,0,0.0,NA,NA
1305,Manzanita Public Charter,42692290116921,062241012214,34.747567,-120.50724,0,0,0.0,NA,NA
1306,Los Olivos Charter School,42692454230199,062292010662,34.665479,-120.11080,0,0,0.0,NA,NA
1307,Orcutt Academy Charter,42692600116434,062871012315,34.861314,-120.44218,0,0,0.0,NA,NA
1308,California STEAM Santa Barbara,42750100134866,060000914038,34.069036,-117.54899,7480,5984,1496.0,5.0,4.0
1309,Uplift California Santa Barbara,42750100135590,060000914141,34.935346,-119.61483,0,0,0.0,NA,NA
1310,Valiant Santa Barbara,42750100136630,060000914212,34.069036,-117.54899,7480,5984,1496.0,5.0,4.0
1311,Peabody Charter,42767866045918,060141406027,34.441452,-119.72813,0,0,0.0,NA,NA
1312,Santa Barbara Charter,42767866111603,060141402792,34.448978,-119.83522,0,0,0.0,NA,NA
1313,Santa Barbara Charter Middle,42767866116297,060141408348,34.448978,-119.83522,0,0,0.0,NA,NA
1314,Adelante Charter,42767866118202,060141408628,34.425634,-119.67914,0,0,0.0,NA,NA
1315,Olive Grove Charter,42769500132894,No Data13948,34.943362,-119.67386,0,0,0.0,NA,NA
1316,Olive Grove Charter - Orcutt/Santa Maria,42771980138362,No Data14265,34.864148,-120.41978,0,0,0.0,NA,NA
1317,Olive Grove Charter - Lompoc,42772060138370,No Data14218,34.651118,-120.45669,0,0,0.0,NA,NA
1318,Olive Grove Charter - Buellton,42772140138388,No Data14258,34.609844,-120.18716,0,0,0.0,NA,NA
1319,Olive Grove Charter - Santa Barbara,42772220138396,No Data14229,34.401386,-119.72405,0,0,0.0,NA,NA
1320,Leadership Public Schools - San Jose,43104390102905,069103511441,37.330395,-121.82878,0,0,0.0,NA,NA
1321,Bullis Charter,43104390106534,069103511442,37.396836,-122.11646,0,0,0.0,NA,NA
1322,Discovery Charter,43104390111880,069103511792,37.302745,-121.97364,0,0,0.0,NA,NA
1323,University Preparatory Academy Charter,43104390113431,069103512016,37.292255,-121.87392,0,0,0.0,NA,NA
1324,Rocketship Mateo Sheedy Elementary,43104390113704,069103511864,37.321396,-121.88667,0,0,0.0,NA,NA
1325,ACE Empower Academy,43104390116814,069103512198,37.348601,-121.84460,0,0,0.0,NA,NA
1326,Rocketship Si Se Puede Academy,43104390119024,069103512225,37.352334,-121.83979,0,0,0.0,NA,NA
1327,Magnolia Science Academy Santa Clara,43104390120261,069103512575,37.359212,-121.81610,0,0,0.0,NA,NA
1328,Rocketship Los Suenos Academy,43104390120642,069103512478,37.344865,-121.85163,0,0,0.0,NA,NA
1329,Silicon Valley Flex Academy,43104390121780,069103512654,37.149295,-121.65251,0,0,0.0,NA,NA
1330,Downtown College Prep - Alum Rock,43104390123257,069103512827,37.366747,-121.85791,0,0,0.0,NA,NA
1331,Rocketship Discovery Prep,43104390123281,069103512668,37.354204,-121.87005,0,0,0.0,NA,NA
1332,Summit Public School: Tahoma,43104390123794,069103512625,37.252798,-121.81957,0,0,0.0,NA,NA
1333,Sunrise Middle,43104390124065,069103512865,37.351173,-121.87284,0,0,0.0,NA,NA
1334,Rocketship Academy Brilliant Minds,43104390125781,069103513073,37.355771,-121.81968,0,0,0.0,NA,NA
1335,Rocketship Alma Academy,43104390125799,069103513048,37.313430,-121.87767,0,0,0.0,NA,NA
1336,Discovery Charter II,43104390127969,069103513640,37.236158,-121.84842,0,0,0.0,NA,NA
1337,Summit Public School: Denali,43104390128090,069103513485,37.397256,-122.01549,0,0,0.0,NA,NA
1338,Alpha: Jose Hernandez,43104390129213,069103513757,37.326449,-121.83457,0,0,0.0,NA,NA
1339,Rocketship Fuerza Community Prep,43104390131110,069103513747,37.357607,-121.84232,0,0,0.0,NA,NA
1340,Voices College-Bound Language Academy at Morgan Hill,43104390131748,069103513875,37.149480,-121.65259,0,0,0.0,NA,NA
1341,Spark Charter,43104390132001,069103513854,37.393807,-122.01907,0,0,0.0,NA,NA
1342,Voices College-Bound Language Academy at Mt. Pleasant,43104390132530,069103513925,37.359212,-121.81610,0,0,0.0,NA,NA
1343,Rocketship Rising Stars,43104390133496,069103513979,37.292561,-121.83243,0,0,0.0,NA,NA
1344,Opportunity Youth Academy,43104390135087,069103514054,37.383909,-121.90023,0,0,0.0,NA,NA
1345,Legacy Academy,43104390136655,0691035No Data,37.338809,-121.87912,0,0,0.0,NA,NA
1346,KIPP Heartwood Academy,43693690106633,060231011444,37.337686,-121.84095,0,0,0.0,NA,NA
1347,Alpha: Blanca Alvarado,43693690125526,060231012989,37.326567,-121.83506,0,0,0.0,NA,NA
1348,ACE Alum Rock,43693690129254,060231013844,37.349010,-121.84581,0,0,0.0,NA,NA
1349,Kipp Prize Preparatory Academy,43693690129924,060231013778,37.337944,-121.84017,0,0,0.0,NA,NA
1350,Aptitud Community Academy at Goss,43693696046247,060231000106,37.349950,-121.83140,0,0,0.0,NA,NA
1351,Fammatre Elementary,43693856046445,060714000652,37.271040,-121.92578,0,0,0.0,NA,NA
1352,Farnham Charter,43693856046452,060714000653,37.260195,-121.94302,0,0,0.0,NA,NA
1353,Price Charter Middle,43693856046486,060714000654,37.273405,-121.92679,0,0,0.0,NA,NA
1354,Sartorette Charter,43693856046494,060714000655,37.260592,-121.91112,0,0,0.0,NA,NA
1355,Village,43693930106005,060720011447,37.264140,-121.96438,0,0,0.0,NA,NA
1356,Campbell School of Innovation,43693930137273,060720014280,37.283434,-121.95556,0,0,0.0,NA,NA
1357,Blackford Elementary,43693936046510,060720000657,37.299418,-121.92232,0,0,0.0,NA,NA
1358,Capri Elementary,43693936046536,060720000663,37.266574,-121.96471,0,0,0.0,NA,NA
1359,Castlemont Elementary,43693936046544,060720000664,37.301497,-121.94737,0,0,0.0,NA,NA
1360,Forest Hill Elementary,43693936046577,060720000667,37.276425,-121.98235,0,0,0.0,NA,NA
1361,Lynhaven Elementary,43693936046601,060720000670,37.310889,-121.95978,0,0,0.0,NA,NA
1362,Marshall Lane Elementary,43693936046619,060720000671,37.263873,-121.99658,0,0,0.0,NA,NA
1363,Monroe Middle,43693936046627,060720000672,37.309080,-121.94355,0,0,0.0,NA,NA
1364,Rolling Hills Middle,43693936046668,060720000674,37.265181,-121.98594,0,0,0.0,NA,NA
1365,Sherman Oaks Elementary,43693936046692,060720007427,37.310626,-121.92434,0,0,0.0,NA,NA
1366,"Escuela Popular/Center for Training and Careers, Family Learning",43694270107151,061182011449,37.369978,-121.83165,0,0,0.0,NA,NA
1367,KIPP San Jose Collegiate,43694270116889,061182012236,37.368245,-121.86008,0,0,0.0,NA,NA
1368,Summit Public School: Rainier,43694270123745,061182012769,37.346162,-121.80826,0,0,0.0,NA,NA
1369,ACE Charter High,43694270125617,061182013023,37.366747,-121.85791,0,0,0.0,NA,NA
1370,Luis Valdez Leadership Academy,43694270130856,061182013815,37.320400,-121.84812,0,0,0.0,NA,NA
1371,B. Roberto Cruz Leadership Academy,43694270131995,061182013927,37.359019,-121.81524,0,0,0.0,NA,NA
1372,Alpha Cindy Avitia High,43694270132274,061182013926,37.330197,-121.82911,0,0,0.0,NA,NA
1373,Latino College Preparatory Academy,43694274330668,061182010402,37.359050,-121.81600,0,0,0.0,NA,NA
1374,San Jose Conservation Corps Charter,43694274330676,061182010664,37.372687,-121.89707,0,0,0.0,NA,NA
1375,Escuela Popular Accelerated Family Learning,43694274330726,061182010666,37.369029,-121.83170,0,0,0.0,NA,NA
1376,Voices College-Bound Language Academy,43694500113662,061437012031,37.284739,-121.82181,0,0,0.0,NA,NA
1377,Alpha: Cornerstone Academy Preparatory,43694500121483,061437012639,37.325630,-121.85303,0,0,0.0,NA,NA
1378,Rocketship Mosaic Elementary,43694500123299,061437012645,37.329389,-121.85596,0,0,0.0,NA,NA
1379,Rocketship Spark Academy,43694500128108,061437013582,37.287979,-121.82214,0,0,0.0,NA,NA
1380,KIPP Heritage Academy,43694500129205,061437013763,37.285716,-121.83177,0,0,0.0,NA,NA
1381,ACE Esperanza Middle,43694500129247,061437013740,37.328016,-121.84531,0,0,0.0,NA,NA
1382,Bridges Academy,43694506047229,061437001643,37.325456,-121.84646,0,0,0.0,NA,NA
1383,Gilroy Prep (a Navigator School),43694840123760,061518012751,37.014489,-121.57030,0,0,0.0,NA,NA
1384,Charter School of Morgan Hill,43695836118541,062583010405,37.198556,-121.72072,0,0,0.0,NA,NA
1385,Ida Jew Academies,43696176048045,062640001486,37.346920,-121.80108,0,0,0.0,NA,NA
1386,Downtown College Preparatory Middle,43696660129718,063459013738,37.316331,-121.87288,0,0,0.0,NA,NA
1387,ACE Inspire Academy,43696660131656,063459013852,37.350981,-121.87205,0,0,0.0,NA,NA
1388,Downtown College Preparatory,43696664330585,063459008632,37.316331,-121.87288,0,0,0.0,NA,NA
1389,Downtown College Prep Alviso,43696740116830,063543012279,37.424969,-121.97604,0,0,0.0,NA,NA
1390,KIPP Navigate College Prep,43771490137315,No Data14282,37.252798,-121.81957,0,0,0.0,NA,NA
1391,Santa Cruz County Career Advancement Charter,44104470136572,069103614200,36.938323,-121.77174,0,0,0.0,NA,NA
1392,Pacific Collegiate Charter,44104474430252,069103608363,36.960515,-122.05978,0,0,0.0,NA,NA
1393,Cypress Charter High,44697650100305,062199011259,36.964672,-121.98375,0,0,0.0,NA,NA
1394,Tierra Pacifica Charter,44697650100388,062199011260,36.984108,-121.98614,0,0,0.0,NA,NA
1395,Ceiba College Preparatory Academy,44697990117804,062949012189,36.904565,-121.76038,0,0,0.0,NA,NA
1396,Pacific Coast Charter,44697994430229,062949008364,36.939578,-121.77011,0,0,0.0,NA,NA
1397,Diamond Technology Institute,44697994430245,062949008366,36.923911,-121.77228,0,0,0.0,NA,NA
1398,Linscott Charter,44697996049720,062949009599,36.910680,-121.75031,0,0,0.0,NA,NA
1399,Alianza Charter,44697996049829,062949004554,36.960556,-121.73065,0,0,0.0,NA,NA
1400,Watsonville Charter School of the Arts,44697996119077,062949010413,36.960556,-121.73065,0,0,0.0,NA,NA
1401,Ocean Grove Charter,44698070110007,063474011464,37.171324,-122.13582,0,0,0.0,NA,NA
1402,SLVUSD Charter,44698074430179,063474002797,37.061939,-122.08007,0,0,0.0,NA,NA
1403,Delta Charter,44698234430187,063560006664,36.988456,-121.92461,0,0,0.0,NA,NA
1404,Chrysalis Charter,45104540111674,069103711800,40.563498,-122.24239,0,0,0.0,NA,NA
1405,Redding STEM Academy,45104540132944,069103713960,40.629449,-122.39827,0,0,0.0,NA,NA
1406,Anderson New Technology High,45698564530333,060270010671,40.451972,-122.29972,0,0,0.0,NA,NA
1407,Tree of Life International Charter,45699140135624,060768000736,40.466409,-122.33277,0,0,0.0,NA,NA
1408,Redding School of the Arts,45699480134122,060945014024,40.595734,-122.32201,0,0,0.0,NA,NA
