,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
104,Entrepreneur High,Savant Preparatory Academy of Business,Mojave River Academy - National Trails,Vista Norte Public Charter,Options for Youth-Acton,Mojave River Academy - Gold Canyon,"(34.134826, -117.22279)","(34.129176, -117.25633)","(34.056436, -117.31027)","(34.12271, -117.36715)","(34.063466, -117.42968)","(34.091743, -117.47154)",34.134826,34.129176,34.056436,34.12271,34.063466,34.091743,-117.22279,-117.25633,-117.31027,-117.36715,-117.42968,-117.47154,0.9586507,0.81790024,0.9581269,0.83642715,0.84931237,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,218.0,57.0,351.0,392.0,394.0,111.0,0.0,1.9614364092050003,7.372570563146242,8.316529343056244,12.841980060658027,14.566458932497016
105,Savant Preparatory Academy of Business,Entrepreneur High,Mojave River Academy - National Trails,Vista Norte Public Charter,Options for Youth-Acton,Mojave River Academy - Gold Canyon,"(34.129176, -117.25633)","(34.134826, -117.22279)","(34.056436, -117.31027)","(34.12271, -117.36715)","(34.063466, -117.42968)","(34.091743, -117.47154)",34.129176,34.134826,34.056436,34.12271,34.063466,34.091743,-117.25633,-117.22279,-117.31027,-117.36715,-117.42968,-117.47154,0.81790024,0.9586507,0.9581269,0.83642715,0.84931237,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,57.0,218.0,351.0,392.0,394.0,111.0,0.0,1.9614364092050003,5.890951168362504,6.367859793832594,10.923143033999931,12.605044205233124
106,Gorman Learning Center San Bernardino/Santa Clarita,iLead Agua Dulce,iLEAD Online,Valley International Preparatory High,Lashon Academy,Magnolia Science Academy 2,"(34.418647, -118.42493)","(34.487679, -118.33247)","(34.492805, -118.19593)","(34.253424, -118.58606)","(34.206356, -118.45749)","(34.18669, -118.50542)",34.418647,34.487679,34.492805,34.253424,34.206356,34.18669,-118.42493,-118.33247,-118.19593,-118.58606,-118.45749,-118.50542,0.9733132,0.9302472,0.31590426,0.9280572,0.96260846,0.98369586,Safe,Safe,Risky,Safe,Safe,Safe,1266.0,119.0,13.0,206.0,444.0,471.0,0.0,7.107245106421697,14.038846143566532,14.648492302995308,14.750709624646383,16.63790228482663
107,Scholarship Prep - Oceanside,Coastal Academy Charter,Vista Springs Charter,Classical Academy Vista,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,"(33.232373, -117.317)","(33.206522, -117.29292)","(33.220678, -117.23443)","(33.165025, -117.27027)","(33.124043, -117.20913)","(33.137364, -117.19122)",33.232373,33.206522,33.220678,33.165025,33.124043,33.137364,-117.317,-117.29292,-117.23443,-117.27027,-117.20913,-117.19122,0.9586507,0.9247852,0.92616135,0.9247852,0.9586507,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,236.0,1914.0,156.0,507.0,115.0,88.0,0.0,2.2626097150096336,4.849915332022495,5.373264645575398,9.737194688365214,9.797694345273158
108,School of Universal Learning (SOUL),JCS - Cedar Cove,JCS - Mountain Oaks,Community Collaborative Virtual - Keppel Partnership Academy,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,"(32.994301, -117.26532)","(33.035868, -117.27597)","(33.045335, -117.27987)","(33.104181, -117.21885)","(33.124043, -117.20913)","(33.137364, -117.19122)",32.994301,33.035868,33.045335,33.104181,33.124043,33.137364,-117.26532,-117.27597,-117.27987,-117.21885,-117.20913,-117.19122,0.42372888,0.9302472,0.87678415,0.8509858,0.9586507,0.9586507,Risky,Safe,Safe,Safe,Safe,Safe,41.0,149.0,337.0,99.0,115.0,88.0,0.0,2.9304832468315305,3.6169315883039386,8.03815290205458,9.517002234570148,10.75579454830493
109,Community Montessori,Community Collaborative Virtual - Sage Oak Charter,Baypoint Preparatory Academy - San Diego,Audeo Charter School III,Pivot Charter School - San Diego II,Community Collaborative Virtual - Keppel Partnership Academy,"(33.129426, -117.11209)","(33.141522, -117.16245)","(33.137364, -117.19122)","(33.070485, -117.06492)","(33.124043, -117.20913)","(33.104181, -117.21885)",33.129426,33.141522,33.137364,33.070485,33.124043,33.104181,-117.11209,-117.16245,-117.19122,-117.06492,-117.20913,-117.21885,0.9620292,0.71602404,0.9586507,0.57588476,0.9586507,0.8509858,Safe,Risky,Safe,Risky,Safe,Safe,705.0,232.0,88.0,88.0,115.0,99.0,0.0,3.0365428841667814,4.620580595022317,4.89740017272593,5.639173627238401,6.4310668338157475
110,Pacific Springs Charter,Learning Choice Academy - Chula Vista,Sweetwater Secondary,College Preparatory Middle,Sparrow Academy,Diego Hills Central Public Charter,"(32.620433, -116.97632)","(32.652419, -116.96551)","(32.648779, -117.05338)","(32.745829, -116.9713)","(32.756024, -117.01271)","(32.753973, -117.07982)",32.620433,32.652419,32.648779,32.745829,32.756024,32.753973,-116.97632,-116.96551,-117.05338,-116.9713,-117.01271,-117.07982,0.94888216,0.89224267,0.8287501,0.9586507,0.9187089,0.87997556,Safe,Safe,Safe,Safe,Safe,Safe,440.0,383.0,228.0,238.0,257.0,620.0,0.0,2.2924658181836377,4.899370821457063,8.645906383479014,9.58110381847195,11.002543038871007
111,Classical Academy Vista,Coastal Academy Charter,Vista Springs Charter,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,Community Collaborative Virtual - Keppel Partnership Academy,"(33.165025, -117.27027)","(33.206522, -117.29292)","(33.220678, -117.23443)","(33.124043, -117.20913)","(33.137364, -117.19122)","(33.104181, -117.21885)",33.165025,33.206522,33.220678,33.124043,33.137364,33.104181,-117.27027,-117.29292,-117.23443,-117.20913,-117.19122,-117.21885,0.9247852,0.9247852,0.92616135,0.9586507,0.9586507,0.8509858,Safe,Safe,Safe,Safe,Safe,Safe,507.0,1914.0,156.0,115.0,88.0,99.0,0.0,3.1465691465067773,4.361447638187501,4.532130520405216,4.9631898200648825,5.1449027972256305
112,Coastal Academy Charter,Scholarship Prep - Oceanside,Classical Academy Vista,Vista Springs Charter,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,"(33.206522, -117.29292)","(33.232373, -117.317)","(33.165025, -117.27027)","(33.220678, -117.23443)","(33.124043, -117.20913)","(33.137364, -117.19122)",33.206522,33.232373,33.165025,33.220678,33.124043,33.137364,-117.29292,-117.317,-117.27027,-117.23443,-117.20913,-117.19122,0.9247852,0.9586507,0.9247852,0.92616135,0.9586507,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,1914.0,236.0,507.0,156.0,115.0,88.0,0.0,2.2626097150096336,3.1465691465067773,3.5259045567653313,7.476214326208962,7.579960075651334
113,Grossmont Secondary,Diego Valley East Public Charter,College Preparatory Middle,Sparrow Academy,Diego Hills Central Public Charter,Learning Choice Academy - Chula Vista,"(32.806734, -116.96305)","(32.800703, -116.93542)","(32.745829, -116.9713)","(32.756024, -117.01271)","(32.753973, -117.07982)","(32.652419, -116.96551)",32.806734,32.800703,32.745829,32.756024,32.753973,32.652419,-116.96305,-116.93542,-116.9713,-117.01271,-117.07982,-116.96551,0.8509858,0.87997556,0.9586507,0.9187089,0.87997556,0.89224267,Safe,Safe,Safe,Safe,Safe,Safe,257.0,552.0,238.0,257.0,620.0,383.0,0.0,1.660833000018847,4.224376265188791,4.535185818651232,7.708741310289025,10.634789054753915
114,Juan Bautista de Anza Charter,JCS - Pine Valley,Audeo Charter School III,Community Montessori,Diego Valley East Public Charter,Grossmont Secondary,"(33.256549, -116.3782)","(32.821998, -116.52871)","(33.070485, -117.06492)","(33.129426, -117.11209)","(32.800703, -116.93542)","(32.806734, -116.96305)",33.256549,32.821998,33.070485,33.129426,32.800703,32.806734,-116.3782,-116.52871,-117.06492,-117.11209,-116.93542,-116.96305,0.9515662,0.8998847,0.57588476,0.9620292,0.87997556,0.8509858,Safe,Safe,Risky,Safe,Safe,Safe,25.0,127.0,88.0,705.0,552.0,257.0,0.0,31.1945750588311,41.81780069451743,43.41629438996487,45.09022476574643,45.97223968025628
115,Sweetwater Secondary,Pacific Springs Charter,Learning Choice Academy - Chula Vista,Diego Hills Central Public Charter,Sparrow Academy,College Preparatory Middle,"(32.648779, -117.05338)","(32.620433, -116.97632)","(32.652419, -116.96551)","(32.753973, -117.07982)","(32.756024, -117.01271)","(32.745829, -116.9713)",32.648779,32.620433,32.652419,32.753973,32.756024,32.745829,-117.05338,-116.97632,-116.96551,-117.07982,-117.01271,-116.9713,0.8287501,0.94888216,0.89224267,0.87997556,0.9187089,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,228.0,440.0,383.0,620.0,257.0,238.0,0.0,4.899370821457063,5.128688785987782,7.410752774664078,7.760797616416546,8.22176385368384
116,Learning Choice Academy - Chula Vista,Pacific Springs Charter,Sweetwater Secondary,College Preparatory Middle,Sparrow Academy,Diego Hills Central Public Charter,"(32.652419, -116.96551)","(32.620433, -116.97632)","(32.648779, -117.05338)","(32.745829, -116.9713)","(32.756024, -117.01271)","(32.753973, -117.07982)",32.652419,32.620433,32.648779,32.745829,32.756024,32.753973,-116.96551,-116.97632,-117.05338,-116.9713,-117.01271,-117.07982,0.89224267,0.94888216,0.8287501,0.9586507,0.9187089,0.87997556,Safe,Safe,Safe,Safe,Safe,Safe,383.0,440.0,228.0,238.0,257.0,620.0,0.0,2.2924658181836377,5.128688785987782,6.445672358211968,7.6506884502018195,9.660662636292765
117,Diego Hills Central Public Charter,Sparrow Academy,National University Academy 1001 STEAM,College Preparatory Middle,High Tech High Mesa,Sweetwater Secondary,"(32.753973, -117.07982)","(32.756024, -117.01271)","(32.808972, -117.14885)","(32.745829, -116.9713)","(32.815661, -117.18079)","(32.648779, -117.05338)",32.753973,32.756024,32.808972,32.745829,32.815661,32.648779,-117.07982,-117.01271,-117.14885,-116.9713,-117.18079,-117.05338,0.87997556,0.9187089,0.9515662,0.9586507,0.9586507,0.8287501,Safe,Safe,Safe,Safe,Safe,Safe,620.0,257.0,113.0,238.0,102.0,228.0,0.0,3.910309612818709,5.5237112460689195,6.344251551054389,7.253603088887861,7.410752774664078
118,JCS - Mountain Oaks,JCS - Cedar Cove,School of Universal Learning (SOUL),Community Collaborative Virtual - Keppel Partnership Academy,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,"(33.045335, -117.27987)","(33.035868, -117.27597)","(32.994301, -117.26532)","(33.104181, -117.21885)","(33.124043, -117.20913)","(33.137364, -117.19122)",33.045335,33.035868,32.994301,33.104181,33.124043,33.137364,-117.27987,-117.27597,-117.26532,-117.21885,-117.20913,-117.19122,0.87678415,0.9302472,0.42372888,0.8509858,0.9586507,0.9586507,Safe,Safe,Risky,Safe,Safe,Safe,337.0,149.0,41.0,99.0,115.0,88.0,0.0,0.690557701565436,3.6169315883039386,5.383283757133474,6.801641054433566,8.165007799317896
119,JCS - Cedar Cove,JCS - Mountain Oaks,School of Universal Learning (SOUL),Community Collaborative Virtual - Keppel Partnership Academy,Pivot Charter School - San Diego II,Baypoint Preparatory Academy - San Diego,"(33.035868, -117.27597)","(33.045335, -117.27987)","(32.994301, -117.26532)","(33.104181, -117.21885)","(33.124043, -117.20913)","(33.137364, -117.19122)",33.035868,33.045335,32.994301,33.104181,33.124043,33.137364,-117.27597,-117.27987,-117.26532,-117.21885,-117.20913,-117.19122,0.9302472,0.87678415,0.42372888,0.8509858,0.9586507,0.9586507,Safe,Safe,Risky,Safe,Safe,Safe,149.0,337.0,41.0,99.0,115.0,88.0,0.0,0.690557701565436,2.9304832468315305,5.757333325874228,7.208402145711961,8.549565469496503
120,Audeo Charter School III,Community Montessori,Community Collaborative Virtual - Sage Oak Charter,Baypoint Preparatory Academy - San Diego,Pivot Charter School - San Diego II,Community Collaborative Virtual - Keppel Partnership Academy,"(33.070485, -117.06492)","(33.129426, -117.11209)","(33.141522, -117.16245)","(33.137364, -117.19122)","(33.124043, -117.20913)","(33.104181, -117.21885)",33.070485,33.129426,33.141522,33.137364,33.124043,33.104181,-117.06492,-117.11209,-117.16245,-117.19122,-117.20913,-117.21885,0.57588476,0.9620292,0.71602404,0.9586507,0.9586507,0.8509858,Risky,Safe,Risky,Safe,Safe,Safe,88.0,705.0,232.0,88.0,115.0,99.0,0.0,4.89740017272593,7.4808840442019315,8.654778428858691,9.143032245645358,9.22675078243698
121,Diego Valley East Public Charter,Grossmont Secondary,College Preparatory Middle,Sparrow Academy,Diego Hills Central Public Charter,Learning Choice Academy - Chula Vista,"(32.800703, -116.93542)","(32.806734, -116.96305)","(32.745829, -116.9713)","(32.756024, -117.01271)","(32.753973, -117.07982)","(32.652419, -116.96551)",32.800703,32.806734,32.745829,32.756024,32.753973,32.652419,-116.93542,-116.96305,-116.9713,-117.01271,-117.07982,-116.96551,0.87997556,0.8509858,0.9586507,0.9187089,0.87997556,0.89224267,Safe,Safe,Safe,Safe,Safe,Safe,552.0,257.0,238.0,257.0,620.0,383.0,0.0,1.660833000018847,4.319965391476729,5.451922564206864,9.001857749153507,10.367446196948682
122,Sparrow Academy,College Preparatory Middle,Diego Hills Central Public Charter,Grossmont Secondary,Diego Valley East Public Charter,Learning Choice Academy - Chula Vista,"(32.756024, -117.01271)","(32.745829, -116.9713)","(32.753973, -117.07982)","(32.806734, -116.96305)","(32.800703, -116.93542)","(32.652419, -116.96551)",32.756024,32.745829,32.753973,32.806734,32.800703,32.652419,-117.01271,-116.9713,-117.07982,-116.96305,-116.93542,-116.96551,0.9187089,0.9586507,0.87997556,0.8509858,0.87997556,0.89224267,Safe,Safe,Safe,Safe,Safe,Safe,257.0,238.0,620.0,257.0,552.0,383.0,0.0,2.5116323466224935,3.910309612818709,4.535185818651232,5.451922564206864,7.6506884502018195
123,Vista Springs Charter,Coastal Academy Charter,Classical Academy Vista,Scholarship Prep - Oceanside,Baypoint Preparatory Academy - San Diego,Pivot Charter School - San Diego II,"(33.220678, -117.23443)","(33.206522, -117.29292)","(33.165025, -117.27027)","(33.232373, -117.317)","(33.137364, -117.19122)","(33.124043, -117.20913)",33.220678,33.206522,33.165025,33.232373,33.137364,33.124043,-117.23443,-117.29292,-117.27027,-117.317,-117.19122,-117.20913,0.92616135,0.9247852,0.9247852,0.9586507,0.9586507,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,156.0,1914.0,507.0,236.0,88.0,115.0,0.0,3.5259045567653313,4.361447638187501,4.849915332022495,6.263870064769678,6.819087040267459
124,JCS - Pine Valley,Diego Valley East Public Charter,Grossmont Secondary,College Preparatory Middle,Learning Choice Academy - Chula Vista,Sparrow Academy,"(32.821998, -116.52871)","(32.800703, -116.93542)","(32.806734, -116.96305)","(32.745829, -116.9713)","(32.652419, -116.96551)","(32.756024, -117.01271)",32.821998,32.800703,32.806734,32.745829,32.652419,32.756024,-116.52871,-116.93542,-116.96305,-116.9713,-116.96551,-117.01271,0.8998847,0.87997556,0.8509858,0.9586507,0.89224267,0.9187089,Safe,Safe,Safe,Safe,Safe,Safe,127.0,552.0,257.0,238.0,383.0,257.0,0.0,23.71286518742871,25.29629293748536,26.292507944200292,27.995044213734253,28.53661113268357
125,National University Academy 1001 STEAM,High Tech High Mesa,Diego Hills Central Public Charter,Sparrow Academy,Grossmont Secondary,College Preparatory Middle,"(32.808972, -117.14885)","(32.815661, -117.18079)","(32.753973, -117.07982)","(32.756024, -117.01271)","(32.806734, -116.96305)","(32.745829, -116.9713)",32.808972,32.815661,32.753973,32.756024,32.806734,32.745829,-117.14885,-117.18079,-117.07982,-117.01271,-116.96305,-116.9713,0.9515662,0.9586507,0.87997556,0.9187089,0.8509858,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,113.0,102.0,620.0,257.0,257.0,238.0,0.0,1.9149493481494113,5.5237112460689195,8.724469544324327,10.81366950474045,11.214525786248258
126,High Tech High Mesa,National University Academy 1001 STEAM,Diego Hills Central Public Charter,Sparrow Academy,Grossmont Secondary,College Preparatory Middle,"(32.815661, -117.18079)","(32.808972, -117.14885)","(32.753973, -117.07982)","(32.756024, -117.01271)","(32.806734, -116.96305)","(32.745829, -116.9713)",32.815661,32.808972,32.753973,32.756024,32.806734,32.745829,-117.18079,-117.14885,-117.07982,-117.01271,-116.96305,-116.9713,0.9586507,0.9515662,0.87997556,0.9187089,0.8509858,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,102.0,113.0,620.0,257.0,257.0,238.0,0.0,1.9149493481494113,7.253603088887861,10.611836367737888,12.685756561173807,13.110009952090703
127,College Preparatory Middle,Sparrow Academy,Grossmont Secondary,Diego Valley East Public Charter,Diego Hills Central Public Charter,Learning Choice Academy - Chula Vista,"(32.745829, -116.9713)","(32.756024, -117.01271)","(32.806734, -116.96305)","(32.800703, -116.93542)","(32.753973, -117.07982)","(32.652419, -116.96551)",32.745829,32.756024,32.806734,32.800703,32.753973,32.652419,-116.9713,-117.01271,-116.96305,-116.93542,-117.07982,-116.96551,0.9586507,0.9187089,0.8509858,0.87997556,0.87997556,0.89224267,Safe,Safe,Safe,Safe,Safe,Safe,238.0,257.0,257.0,552.0,620.0,383.0,0.0,2.5116323466224935,4.224376265188791,4.319965391476729,6.344251551054389,6.445672358211968
128,KIPP Bayview Elementary,Opportunity Academy,Latitude 37.8 High,Aurum Preparatory Academy,REALM Charter,Invictus Academy of Richmond,"(37.734437, -122.38079)","(37.783496, -122.23538)","(37.777138, -122.23001)","(37.758631, -122.19604)","(37.867407, -122.29489)","(37.985734, -122.30765)",37.734437,37.783496,37.777138,37.758631,37.867407,37.985734,-122.38079,-122.23538,-122.23001,-122.19604,-122.29489,-122.30765,0.9480095,0.80295205,0.91688186,0.94299734,0.96599644,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,70.0,23.0,52.0,91.0,383.0,78.0,0.0,8.650973861809272,8.765772239909348,10.25429096606588,10.30522730768709,17.786983102832373
129,Delta Keys Charter,Team Charter Academy,Connecting Waters Charter School - Central Valley,Aspire University Charter,Rocketship Delta Prep,Connecting Waters Charter - East Bay,"(37.808382, -121.29499)","(37.953265, -121.28345)","(37.670894, -121.02788)","(37.618789, -121.00358)","(38.005791, -121.79727)","(37.603623, -122.0253)",37.808382,37.953265,37.670894,37.618789,38.005791,37.603623,-121.29499,-121.28345,-121.02788,-121.00358,-121.79727,-122.0253,0.81790024,0.83642715,0.9586507,0.9540428,0.980271,0.9071579,Safe,Safe,Safe,Safe,Safe,Safe,63.0,153.0,321.0,355.0,422.0,106.0,0.0,10.01227224724628,17.433523938339572,20.63679829413231,30.638521556655824,42.43485703560859
130,Team Charter Academy,Delta Keys Charter,Connecting Waters Charter School - Central Valley,Aspire University Charter,Rocketship Delta Prep,SAVA - Sacramento Academic and Vocational Academy - EGUSD,"(37.953265, -121.28345)","(37.808382, -121.29499)","(37.670894, -121.02788)","(37.618789, -121.00358)","(38.005791, -121.79727)","(38.426659, -121.46097)",37.953265,37.808382,37.670894,37.618789,38.005791,38.426659,-121.28345,-121.29499,-121.02788,-121.00358,-121.79727,-121.46097,0.83642715,0.81790024,0.9586507,0.9540428,0.980271,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,153.0,63.0,321.0,355.0,422.0,316.0,0.0,10.01227224724628,23.9749386795401,27.690961551731455,28.283253621011664,34.050998378343564
131,Oxford Day Academy,Connecting Waters Charter - East Bay,Campbell School of Innovation,Legacy Academy,Aurum Preparatory Academy,Latitude 37.8 High,"(37.465858, -122.13272)","(37.603623, -122.0253)","(37.283434, -121.95556)","(37.338809, -121.87912)","(37.758631, -122.19604)","(37.777138, -122.23001)",37.465858,37.603623,37.283434,37.338809,37.758631,37.777138,-122.13272,-122.0253,-121.95556,-121.87912,-122.19604,-122.23001,0.9586507,0.9071579,0.93531203,0.90953594,0.94299734,0.91688186,Safe,Safe,Safe,Safe,Safe,Safe,48.0,106.0,300.0,13.0,91.0,52.0,0.0,11.183501242220112,15.916531052155806,16.475139301572,20.487887035325556,22.121043671306342
132,KIPP Valiant Community Prep,Trivium Charter School Voyage,Olive Grove Charter - Santa Barbara,Olive Grove Charter - Buellton,Grimmway Academy Shafter,Heartland Charter,"(34.935346, -119.61483)","(34.437201, -119.78106)","(34.401386, -119.72405)","(34.609844, -120.18716)","(35.492594, -119.28506)","(35.36251, -119.06046)",34.935346,34.437201,34.401386,34.609844,35.492594,35.36251,-119.61483,-119.78106,-119.72405,-120.18716,-119.28506,-119.06046,0.9586507,0.91326845,0.8839505,0.91997,0.9662385,0.75177383,Safe,Safe,Safe,Safe,Safe,Risky,225.0,203.0,180.0,83.0,444.0,2849.0,0.0,35.61858140688451,37.328569536899124,39.53764393968368,42.7062015692553,43.039504389519514
133,Olive Grove Charter - Orcutt/Santa Maria,Olive Grove Charter - Lompoc,Trivium Charter School Adventure,Olive Grove Charter - Buellton,KIPP Valiant Community Prep,Trivium Charter School Voyage,"(34.864148, -120.41978)","(34.651118, -120.45669)","(34.637928, -120.43855)","(34.609844, -120.18716)","(34.935346, -119.61483)","(34.437201, -119.78106)",34.864148,34.651118,34.637928,34.609844,34.935346,34.437201,-120.41978,-120.45669,-120.43855,-120.18716,-119.61483,-119.78106,0.92019004,0.9480095,0.7795031,0.91997,0.9586507,0.91326845,Safe,Safe,Risky,Safe,Safe,Safe,204.0,117.0,245.0,83.0,225.0,203.0,0.0,14.834067714812484,15.63042316077682,21.96621358989993,45.97804730441054,46.7963499942864
134,Trivium Charter School Adventure,Olive Grove Charter - Lompoc,Olive Grove Charter - Buellton,Olive Grove Charter - Orcutt/Santa Maria,Trivium Charter School Voyage,Olive Grove Charter - Santa Barbara,"(34.637928, -120.43855)","(34.651118, -120.45669)","(34.609844, -120.18716)","(34.864148, -120.41978)","(34.437201, -119.78106)","(34.401386, -119.72405)",34.637928,34.651118,34.609844,34.864148,34.437201,34.401386,-120.43855,-120.45669,-120.18716,-120.41978,-119.78106,-119.72405,0.7795031,0.9480095,0.91997,0.92019004,0.91326845,0.8839505,Risky,Safe,Safe,Safe,Safe,Safe,245.0,117.0,83.0,204.0,203.0,180.0,0.0,1.3764326824986532,14.454957991685863,15.63042316077682,39.9747004162633,43.90428556448429
135,Olive Grove Charter - Lompoc,Trivium Charter School Adventure,Olive Grove Charter - Orcutt/Santa Maria,Olive Grove Charter - Buellton,Trivium Charter School Voyage,Olive Grove Charter - Santa Barbara,"(34.651118, -120.45669)","(34.637928, -120.43855)","(34.864148, -120.41978)","(34.609844, -120.18716)","(34.437201, -119.78106)","(34.401386, -119.72405)",34.651118,34.637928,34.864148,34.609844,34.437201,34.401386,-120.45669,-120.43855,-120.41978,-120.18716,-119.78106,-119.72405,0.9480095,0.7795031,0.92019004,0.91997,0.91326845,0.8839505,Safe,Risky,Safe,Safe,Safe,Safe,117.0,245.0,204.0,83.0,203.0,180.0,0.0,1.3764326824986532,14.834067714812484,15.618496912541623,41.26028065779409,45.202147203968536
136,Trivium Charter School Voyage,Olive Grove Charter - Santa Barbara,Olive Grove Charter - Buellton,KIPP Valiant Community Prep,Trivium Charter School Adventure,Olive Grove Charter - Lompoc,"(34.437201, -119.78106)","(34.401386, -119.72405)","(34.609844, -120.18716)","(34.935346, -119.61483)","(34.637928, -120.43855)","(34.651118, -120.45669)",34.437201,34.401386,34.609844,34.935346,34.637928,34.651118,-119.78106,-119.72405,-120.18716,-119.61483,-120.43855,-120.45669,0.91326845,0.8839505,0.91997,0.9586507,0.7795031,0.9480095,Safe,Safe,Safe,Safe,Risky,Safe,203.0,180.0,83.0,225.0,245.0,117.0,0.0,4.086467279440539,26.045802660184744,35.61858140688451,39.9747004162633,41.26028065779409
137,Olive Grove Charter - Buellton,Trivium Charter School Adventure,Olive Grove Charter - Lompoc,Olive Grove Charter - Orcutt/Santa Maria,Trivium Charter School Voyage,Olive Grove Charter - Santa Barbara,"(34.609844, -120.18716)","(34.637928, -120.43855)","(34.651118, -120.45669)","(34.864148, -120.41978)","(34.437201, -119.78106)","(34.401386, -119.72405)",34.609844,34.637928,34.651118,34.864148,34.437201,34.401386,-120.18716,-120.43855,-120.45669,-120.41978,-119.78106,-119.72405,0.91997,0.7795031,0.9480095,0.92019004,0.91326845,0.8839505,Safe,Risky,Safe,Safe,Safe,Safe,83.0,245.0,117.0,204.0,203.0,180.0,0.0,14.454957991685863,15.618496912541623,21.96621358989993,26.045802660184744,30.08018946257943
138,Olive Grove Charter - Santa Barbara,Trivium Charter School Voyage,Olive Grove Charter - Buellton,KIPP Valiant Community Prep,Trivium Charter School Adventure,Olive Grove Charter - Lompoc,"(34.401386, -119.72405)","(34.437201, -119.78106)","(34.609844, -120.18716)","(34.935346, -119.61483)","(34.637928, -120.43855)","(34.651118, -120.45669)",34.401386,34.437201,34.609844,34.935346,34.637928,34.651118,-119.72405,-119.78106,-120.18716,-119.61483,-120.43855,-120.45669,0.8839505,0.91326845,0.91997,0.9586507,0.7795031,0.9480095,Safe,Safe,Safe,Safe,Risky,Safe,180.0,203.0,83.0,225.0,245.0,117.0,0.0,4.086467279440539,30.08018946257943,37.328569536899124,43.90428556448429,45.202147203968536
139,KIPP Navigate College Prep,Legacy Academy,Campbell School of Innovation,Santa Cruz County Career Advancement Charter,Oxford Day Academy,Connecting Waters Charter - East Bay,"(37.252798, -121.81957)","(37.338809, -121.87912)","(37.283434, -121.95556)","(36.938323, -121.77174)","(37.465858, -122.13272)","(37.603623, -122.0253)",37.252798,37.338809,37.283434,36.938323,37.465858,37.603623,-121.81957,-121.87912,-121.95556,-121.77174,-122.13272,-122.0253,0.9168195,0.90953594,0.93531203,0.91688186,0.9586507,0.9071579,Safe,Safe,Safe,Safe,Safe,Safe,89.0,13.0,300.0,48.0,48.0,106.0,0.0,6.778377883884666,7.7870918222472,21.846373500574995,22.650498421535374,26.709032007520836
140,Legacy Academy,Campbell School of Innovation,KIPP Navigate College Prep,Oxford Day Academy,Connecting Waters Charter - East Bay,Santa Cruz County Career Advancement Charter,"(37.338809, -121.87912)","(37.283434, -121.95556)","(37.252798, -121.81957)","(37.465858, -122.13272)","(37.603623, -122.0253)","(36.938323, -121.77174)",37.338809,37.283434,37.252798,37.465858,37.603623,36.938323,-121.87912,-121.95556,-121.81957,-122.13272,-122.0253,-121.77174,0.90953594,0.93531203,0.9168195,0.9586507,0.9071579,0.91688186,Safe,Safe,Safe,Safe,Safe,Safe,13.0,300.0,89.0,48.0,106.0,48.0,0.0,5.684341927314727,6.778377883884666,16.475139301572,19.95199097680949,28.246592861356614
141,Campbell School of Innovation,Legacy Academy,KIPP Navigate College Prep,Oxford Day Academy,Connecting Waters Charter - East Bay,Santa Cruz County Career Advancement Charter,"(37.283434, -121.95556)","(37.338809, -121.87912)","(37.252798, -121.81957)","(37.465858, -122.13272)","(37.603623, -122.0253)","(36.938323, -121.77174)",37.283434,37.338809,37.252798,37.465858,37.603623,36.938323,-121.95556,-121.87912,-121.81957,-122.13272,-122.0253,-121.77174,0.93531203,0.90953594,0.9168195,0.9586507,0.9071579,0.91688186,Safe,Safe,Safe,Safe,Safe,Safe,300.0,13.0,89.0,48.0,106.0,48.0,0.0,5.684341927314727,7.7870918222472,15.916531052155806,22.411854368486125,25.873628582703173
